database,database_name,year,month,spider,non_spider,visitors,usda_researchers,non_usda_researchers,download_count,download_avg_size,pageview_count,download from ADC,pageview from ADC,usda_downloads,non_usda_downloads,usda_pageviews,non_usda_pageviews
adc,Ag Data Commons,2019,3,493055,888349,31337,286,31020,5201,7264941.881,214984,0,0,866,4335,3996,210988
adc,Ag Data Commons,2019,4,411746,927842,28914,310,28593,6647,12033944.63,158796,0,0,666,5981,12380,146416
adc,Ag Data Commons,2019,5,195962,441204,10497,198,10301,3162,14053114.88,96617,0,0,384,2778,5036,91581
fdc,FoodData Central,2019,3,5017,849242,97,65,32,28,38498245.07,569981,0,0,10,18,569604,377
fdc,FoodData Central,2019,4,58912,4433228,78298,223,78032,3548,22682630.03,934809,0,0,32,3516,721695,213114
fdc,FoodData Central,2019,5,70471,5564428,92009,150,91814,3483,21760355.43,947184,0,0,13,3470,3904,943280
lca,LCA Commons,2019,3,162144,1340747,3995,50,3945,71477,50591.67697,13644,357,2393,11,2740,419,13225
lca,LCA Commons,2019,4,188569,1003489,3982,59,3927,42316,60764.69744,14046,321,2209,16,1647,2261,11785
lca,LCA Commons,2019,5,102072,214085,3435,49,3391,37601,61854.59302,12186,117,12256,8,1418,1448,10738
ndb,Nutrient Database,2019,3,1024046,602947,10352,2,10350,836,21620.50359,278335,604,2803,0,836,0,278335
ndb,Nutrient Database,2019,4,18804563,18230281,271604,188,271290,729285,3567.774867,7506780,553,2482,32,729253,2980,7503800
ndb,Nutrient Database,2019,5,51279887,24388997,262360,162,262224,447435,3812.098586,6507146,229,1131,56,447379,4683,6502463
phytochem,Dr. Duke's Phytochemical,2019,3,638924,1440208,7027,10,7017,23029,47681.57137,129526,196,1144,4,23025,19,129507
phytochem,Dr. Duke's Phytochemical,2019,4,537074,1480959,7401,8,7395,42145,28665.10082,189728,237,1043,7,42138,9,189719
phytochem,Dr. Duke's Phytochemical,2019,5,478767,1400406,7511,11,7503,15002,57112.49373,100142,99,504,2,15000,3,100139
